	name	alias	candidateVIAF	verifiedVIAF
0	Marie Hinrichs		67644509,103716937	
1	Yannick Versley		313238145,978148947897454950007	313238145
2	Heike Zinsmeister		60918508,2870160546918010240005,309619533	60918508
3	Erhard Hinrichs		37069402	37069402
4	Eleri Aedmaa		37157340510709921028	
5	Kadri Muischnek		48607723	
6	Tiina Puolakainen		9067149544629400490000	
7	Dage Särg		25153409665241580432	
8	Alexander Popov		276079456,6324148037715588350005,126151594428605351096,293507957,285844799,276312007,5319149198224274940007,27920111,8280557,85950477	
9	Petya Osenova		1725159233952303370199,12017904	
10	Kiril Simov		27145066481866591776	
11	Matthieu Constant		96858111	
12	Gaël Guibon		2283159474427827662282	
13	Sophie Prévost		189672275	
14	Isabelle Tellier		308788299	
15	Kim Gerdes		101481572	
16	Antonio Pareja-Lora		28147602642357642853,4115159478097127990004,309846621	
17	Kiyong Lee		13959984,78960080,109182212,66153061230419200645,28999380,16152138526410980594,188148995803459750287,73150747015016302480,185154013725509190608,5154013729409190842	
18	Sonja Bosch		281718658	
19	Laurette Pretorius		189893516	
20	Laurent Romary		282014122,191637821,3049159477824927990008	
21	Ulrich Heid		44939799	
22	Andreas Witt		36375219,269495654,173604690,310692183,313437708,2757156317456402350008,247151246603244132669,162148389187710710475	36375219
23	Kerstin Eckart		95386399,5669152988211512790005	
24	Amir Zeldes		165541010	
25	Markus Dickinson		233415901	
26	Amber Smith		288657051,315174421,87075758	
27	Ulrike Demske		49330579,230145542812996642309	
28	Agnieszka Patejuk		311489374	
29	Adam Przepiórkowski		8257550	
30	Marie Candito		205174827	
31	Djamé Seddah		220192469	
32	Jiří Mírovský		107469675	
33	Eva Hajičová		29547189,6717159478287527990009	
34	Katarzyna Krasnowska		56159818701613811467	
35	Zdeněk Žabokrtský		85545890	
36	Hagen Hirschmann		127145542421196640515	
37	Ines Rehbein		7468158631013923370003	
38	Stefanie Dipper		255708372	
39	Verena Henrich		315953423,383152138623610981279	
40	Arne Skjærholt		16149066384565600952	
41	Stephan Oepen		23722919	
42	Marco Passarotti		66000474	
43	Cristina Bosco		9423545,99967225	
44	Tomáš Jelínek		84167683,102473091,84124753,120145542659596642083,85585694,5886150033046211180009,7145602333801360333,308253238,31154921228263591339,84993745	
45	Alexandr Rosen		84282255	
46	Vladimír Petkevič		84124299,304932515	
47	Hana Skoumalová		83897605,158145601965801320589	
48	Hanne Martine Eckhoff		165964305	
49	Marwa Ragheb		327156563466523240891	
50	Renata Szczepaniak		6088237,315217280	
